04-15-2026 20:02:12.671,-,API2," COORD,0013A200425E8FD9,Digi XBee3 Zigbee 3.0,1014,usbserial-B0025YU5 - 9600/8/N/1/N,0,65"
04-15-2026 19:40:55.897,698,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:02.519,699,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:04.106,700,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:05.726,701,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:12.305,702,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:13.936,703,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:15.516,704,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:21.696,705,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:23.316,706,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:24.931,707,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:26.534,708,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:33.114,709,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:34.709,710,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:36.317,711,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:42.916,712,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:44.528,713,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:46.127,714,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:52.705,715,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:54.325,716,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:41:55.905,717,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:02.518,718,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:04.134,719,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:05.742,720,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:12.313,721,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:13.947,722,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:15.529,723,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:21.706,724,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:23.280,725,RECV,7E004690007D33A200425E9122A79B01244750524D432C3132333531392C412C333731332E35392C4E2C30383032342E35392C572C302E302C302E302C3036303332362C2C2C412A363634
04-15-2026 19:42:23.804,726,RECV,7E00028A0372
04-15-2026 19:42:25.149,727,RECV,7E00028A066F
04-15-2026 19:42:25.183,728,RECV,7E00028A4332
